Sl. No,Field Name,Field Type,Example
1,breadcrumbs,list,"Men,Designers,Moncler,Shoes,Sneakers,Low-Top"
2,product_name,string,Moncler
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Sandals & slides"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Burberry,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Burberry
1,breadcrumbs,list,"Men,Designers,Burberry,Shoes,Boots,Ankle boots"
2,product_name,string,Burberry
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Sneakers,Low-Top"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Sneakers,Low-Top"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Bottega Veneta,Shoes,Formal shoes,Derby"
2,product_name,string,Bottega Veneta
1,breadcrumbs,list,"Men,Designers,Bottega Veneta,Shoes,Loafers"
2,product_name,string,Bottega Veneta
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Boots,Chelsea boots"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Sneakers,Low-Top"
2,product_name,string,Brunello Cucinelli
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Boots,Lace up boots"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Givenchy,Shoes,Derby Shoes"
2,product_name,string,Givenchy
1,breadcrumbs,list,"Men,Designers,Valentino Garavani,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Valentino Garavani
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Sneakers,Low-Top"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Burberry,Shoes,Boots,Hiking boots"
2,product_name,string,Burberry
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Low-Top"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Bottega Veneta,Shoes,Loafers"
2,product_name,string,Bottega Veneta
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Low-Top"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Berluti,Shoes,Loafers"
2,product_name,string,Berluti
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Low-Top"
2,product_name,string,Christian Louboutin
