Sl. No,Field Name,Field Type,Example
9674,Sizes,list,"['EU 39', 'EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44', 'EU 45', 'EU 46', 'EU 47']"
9675,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/4d/P00896177_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/4d/P00896177_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/4d/P00896177_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/4d/P00896177_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/4d/P00896177_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/4d/P00896177_d4.jpg']"
9676,breadcrumbs,list,"['Men', 'Designers', 'Brunello Cucinelli', 'Shoes', 'Sneakers', 'Designer sneakers']"
9677,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e5/P00932919.jpg
9678,brand_name,string,Brunello Cucinelli
9679,product_name,string,Suede sneakers
9680,product_price,string,€ 635
9681,product_id,string,P00932919
9682,Description,string,None
9683,Sizes,list,"['EU 39', 'EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44', 'EU 45', 'EU 46']"
9684,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e5/P00932919_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e5/P00932919_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e5/P00932919_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e5/P00932919_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e5/P00932919_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e5/P00932919_d4.jpg']"
9685,breadcrumbs,list,"['Men', 'Designers', 'Burberry', 'Shoes', 'Slippers']"
9686,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e9/P00932584.jpg
9687,brand_name,string,Burberry
9688,product_name,string,Logo rubber clogs
9689,product_price,string,€ 395
9690,product_id,string,P00932584
9691,Description,string,None
9692,Sizes,list,"['EU 39', 'EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44', 'EU 45', 'EU 46', 'EU 47', 'EU 48']"
9693,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e9/P00932584_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e9/P00932584_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e9/P00932584_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e9/P00932584_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e9/P00932584_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e9/P00932584_d4.jpg']"
9694,breadcrumbs,list,"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Formal shoes', 'Oxford']"
9695,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bb/P00896168.jpg
9696,brand_name,string,Christian Louboutin
9697,product_name,string,Greggo leather-trimmed Oxford shoes
9698,product_price,string,€ 715
9699,product_id,string,P00896168
9700,Description,string,None
9701,Sizes,list,"['EU 39', 'EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44', 'EU 45', 'EU 46', 'EU 47']"
9702,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bb/P00896168_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bb/P00896168_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bb/P00896168_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bb/P00896168_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bb/P00896168_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bb/P00896168_d4.jpg']"
9703,breadcrumbs,list,"['Men', 'Designers', 'Zegna', 'Shoes', 'Sneakers', 'Low-Top']"
9704,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/51/P00911545.jpg
9705,brand_name,string,Zegna
9706,product_name,string,Triple Stitch suede espadrilles
9707,product_price,string,€ 835
9708,product_id,string,P00911545
9709,Description,string,None
9710,Sizes,list,"['UK 6 / EU 40', 'UK 7 / EU 41', 'UK 8 / EU 42', 'UK 9 / EU 43', 'UK 10 / EU 44', 'UK 11 / EU 45', 'UK 12 / EU 46']"
9711,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/51/P00911545_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/51/P00911545_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/51/P00911545_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/51/P00911545_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/51/P00911545_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/51/P00911545_d4.jpg']"
9712,breadcrumbs,list,"['Men', 'Designers', 'Brunello Cucinelli', 'Shoes', 'Espadrilles']"
9713,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/53/P00932930.jpg
9714,brand_name,string,Brunello Cucinelli
9715,product_name,string,Suede espadrilles
9716,product_price,string,€ 585
9717,product_id,string,P00932930
9718,Description,string,None
9719,Sizes,list,"['EU 39', 'EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44', 'EU 45', 'EU 46']"
9720,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/53/P00932930_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/53/P00932930_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/53/P00932930_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/53/P00932930_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/53/P00932930_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/53/P00932930_d4.jpg']"
9721,breadcrumbs,list,"['Men', 'Designers', 'Gucci', 'Shoes', 'Loafers']"
9722,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bc/P00939639.jpg
9723,brand_name,string,Gucci
9724,product_name,string,GG canvas boat shoes
9725,product_price,string,€ 755
9726,product_id,string,P00939639
9727,Description,string,None
9728,Sizes,list,"['UK 5 / EU 39', 'UK 6 / EU 40', 'UK 7 / EU 41', 'UK 7.5 / EU 41.5', 'UK 8 / EU 42', 'UK 8.5 / EU 42.5', 'UK 9 / EU 43', 'UK 10 / EU 44', 'UK 11 / EU 45', 'UK 12 / EU 46', 'UK 13 / EU 47']"
9729,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bc/P00939639_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bc/P00939639_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bc/P00939639_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bc/P00939639_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bc/P00939639_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bc/P00939639_d4.jpg']"
9730,breadcrumbs,list,"['Men', 'Designers', 'Gucci', 'Shoes', 'Slippers']"
9731,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/22/P00939648.jpg
9732,brand_name,string,Gucci
9733,product_name,string,Horsebit GG canvas mules
9734,product_price,string,€ 605
9735,product_id,string,P00939648
9736,Description,string,None
9737,Sizes,list,"['UK 5 / EU 39', 'UK 6 / EU 40', 'UK 7 / EU 41', 'UK 8 / EU 42', 'UK 9 / EU 43', 'UK 10 / EU 44', 'UK 11 / EU 45', 'UK 12 / EU 46', 'UK 13 / EU 47']"
